Particle size distribution of topmost horizons of soils
soil_id	part_class_id	fraction[-]
1044	1	0.248601396946877
1044	2	0.177520171495046
1044	3	0.573878431558077
1070	1	0.24386281022291
1070	2	0.201286418000226
1070	3	0.554850771776864
1073	1	0.224074359412209
1073	2	0.194234547151306
1073	3	0.581691093436486
1079	1	0.211754155946819
1079	2	0.196463769321942
1079	3	0.591782074731239
1094	1	0.206107013106591
1094	2	0.193714177441481
1094	3	0.600178809451928
1110	1	0.191874869575245
1110	2	0.18685102014877
1110	3	0.621274110275985
1016	1	0.218513584894468
1016	2	0.176669429460782
1016	3	0.60481698564475
1027	1	0.254853578635217
1027	2	0.191950043191938
1027	3	0.553196378172846
1035	1	0.237866401828859
1035	2	0.189971898276612
1035	3	0.572161699894529
