pre-specified mean daily river flow [m3/s] for selected sub-basins (MAP-IDs)		
Date	Timestep	Subbasin-ID.
18092000	1	1755	1758
19092000	1	1913	2024
20092000	1	1932	2087
21092000	1	2015	2047
22092000	1	1918	2045
23092000	1	1649	2031
24092000	1	1652	1850
25092000	1	2108	2044
26092000	1	2250	2081
27092000	1	2146	2093
28092000	1	2235	2149
29092000	1	2065	2066
30092000	1	1849	1972
01102000	1	1794	1691
02102000	1	2286	2058
03102000	1	2387	2078
04102000	1	2332	2241
05102000	1	2417	2271
06102000	1	2410	2426
07102000	1	2053	2200
08102000	1	2044	1963
09102000	1	2226	2009
10102000	1	2317	2350
11102000	1	2001	1960
12102000	1	2080	2043
13102000	1	2403	2218
14102000	1	2134	2231
15102000	1	1979	1991
16102000	1	2408	2209
17102000	1	2453	2348
18102000	1	2385	2285
19102000	1	2453	2265
20102000	1	2466	2396
21102000	1	2046	2171
22102000	1	1923	1911
23102000	1	2267	2210
24102000	1	2229	2287
25102000	1	2219	2297
26102000	1	2247	2373
27102000	1	2243	2304
28102000	1	1850	2189
29102000	1	1871	1759
30102000	1	2075	2198
31102000	1	2046	2338
01112000	1	2041	2304
02112000	1	2056	2120
03112000	1	2081	2341
04112000	1	1881	2139
05112000	1	1786	1930
06112000	1	2015	2317
07112000	1	2097	2339
08112000	1	2164	2315
09112000	1	1953	2276
10112000	1	1934	2223
11112000	1	1779	2229
12112000	1	1690	1760
13112000	1	1713	2230
14112000	1	1643	2313
15112000	1	1554	2137
16112000	1	1659	2325
17112000	1	1700	2406
18112000	1	1708	2249
19112000	1	1597	1792
20112000	1	1726	2315
21112000	1	1701	2302
22112000	1	1627	2440
23112000	1	1592	2378
24112000	1	1618	2420
25112000	1	1571	2093
26112000	1	1560	2153
27112000	1	1718	2419
28112000	1	1907	2388
29112000	1	1889	2454
30112000	1	1849	2443
01122000	1	1909	2396
02122000	1	1962	2238
03122000	1	1794	1996
04122000	1	1934	2355
05122000	1	2217	2243
06122000	1	2099	2450
07122000	1	2415	2453
08122000	1	2145	2466
09122000	1	2049	2006
10122000	1	1943	2044
11122000	1	2318	2397
12122000	1	2310	2317
13122000	1	2252	2312
14122000	1	2284	2348
15122000	1	2225	2051
16122000	1	2021	1984
17122000	1	1769	1780
18122000	1	1944	2167
19122000	1	2000	2131
20122000	1	2027	2076
21122000	1	2174	2112
22122000	1	1774	2172
23122000	1	1557	2072
24122000	1	1467	1856
25122000	1	1593	1665
26122000	1	1668	1992
27122000	1	1428	2022
28122000	1	1396	2089
29122000	1	1460	1980
30122000	1	1508	1913
31122000	1	1458	1777
01012001	1	1465	1698
02012001	1	1653	2079
03012001	1	1518	2066
04012001	1	1528	2109
05012001	1	1519	2025
06012001	1	1505	1849
07012001	1	1455	1696
08012001	1	1808	1978
09012001	1	1933	2115
10012001	1	1906	2048
11012001	1	1948	1999
12012001	1	2078	2084
13012001	1	1906	1884
14012001	1	1855	1713
15012001	1	2105	2000
16012001	1	2119	2038
17012001	1	2076	2028
18012001	1	2114	2032
19012001	1	2171	2056
20012001	1	1931	2052
21012001	1	1851	1770
22012001	1	2168	2093
23012001	1	2141	2122
24012001	1	2129	2072
25012001	1	2216	2026
26012001	1	2396	2165
27012001	1	1955	1959
28012001	1	1871	1785
29012001	1	2149	2113
30012001	1	2294	2122
31012001	1	2250	2039
01022001	1	2308	2202
02022001	1	2395	2165
03022001	1	1896	2028
04022001	1	1886	1729
05022001	1	2109	2050
06022001	1	2229	2071
07022001	1	2319	2166
08022001	1	2287	2219
09022001	1	2321	2113
10022001	1	1941	1943
11022001	1	2027	1866
12022001	1	2142	2150
13022001	1	2194	2138
14022001	1	2240	2109
15022001	1	2119	2048
16022001	1	2072	2115
17022001	1	1667	1999
18022001	1	1757	1904
19022001	1	1955	2151
