daily potential evapotranspiration [mm/d] for all sub-basins (MAP-IDs)
Year	Day	4	33	100	30	32	101	25	26	28	31	3	103	104	105	19	106	2	500	18	107	1
2000	1	 5.790	 6.011	 5.829	 5.959	 6.225	 6.446	 6.313	 6.481	 6.439	 6.784	 6.921	 7.158	 7.129	 6.437	 6.927	 6.292	 6.773	 5.790	 6.564	 5.834	 5.929
2000	2	 5.613	 5.152	 4.641	 5.590	 5.077	 5.023	 5.686	 5.512	 5.700	 5.313	 5.724	 5.425	 5.704	 6.453	 6.200	 6.384	 6.724	 5.613	 6.764	 5.870	 6.248
2000	3	 4.908	 4.194	 3.102	 4.382	 4.274	 4.373	 5.043	 5.022	 4.612	 4.710	 5.247	 4.972	 5.272	 5.855	 5.768	 5.778	 5.428	 4.908	 5.362	 5.228	 5.389
2000	4	 5.742	 5.876	 4.905	 4.968	 5.282	 4.683	 5.104	 4.588	 5.106	 4.945	 4.893	 5.146	 5.498	 5.416	 5.561	 5.466	 5.717	 5.742	 5.786	 5.609	 5.786
2000	5	 5.763	 6.113	 5.757	 5.647	 6.194	 6.124	 5.710	 5.516	 5.857	 6.081	 5.968	 6.109	 6.003	 6.236	 6.015	 5.936	 5.650	 5.763	 5.640	 5.410	 5.329
2000	6	 5.617	 5.058	 5.226	 5.285	 5.124	 5.124	 5.108	 4.770	 5.507	 5.539	 5.347	 5.746	 5.773	 5.576	 5.851	 5.834	 5.857	 5.617	 5.621	 5.863	 5.104
2000	7	 5.699	 5.435	 4.832	 4.605	 5.135	 5.033	 3.611	 3.994	 3.945	 4.638	 4.372	 4.820	 5.016	 4.591	 4.877	 4.242	 4.459	 5.699	 4.632	 4.567	 5.123
2000	8	 5.715	 5.254	 5.157	 4.180	 4.960	 4.891	 3.349	 2.995	 3.676	 4.256	 3.994	 4.401	 4.731	 4.566	 4.984	 4.315	 4.892	 5.715	 4.902	 4.328	 4.426
2000	9	 2.764	 2.686	 3.360	 2.513	 2.715	 2.885	 2.330	 2.370	 2.635	 2.879	 3.383	 3.400	 4.128	 4.535	 4.921	 4.910	 5.103	 2.764	 5.365	 4.893	 5.565
2000	10	 6.554	 6.083	 4.817	 6.649	 5.563	 4.850	 6.342	 6.180	 6.476	 5.741	 6.707	 5.732	 5.250	 6.721	 5.706	 6.378	 4.573	 6.554	 5.156	 6.028	 5.427
2000	11	 6.474	 6.026	 5.014	 5.839	 5.688	 5.314	 5.972	 5.842	 5.647	 5.392	 5.601	 5.423	 5.538	 6.620	 6.017	 6.752	 5.674	 6.474	 5.767	 6.204	 5.177
2000	12	 6.570	 6.339	 5.947	 5.418	 5.827	 5.321	 5.399	 5.259	 5.396	 5.291	 5.615	 5.277	 5.176	 5.184	 5.133	 4.575	 4.968	 6.570	 4.972	 4.495	 4.189
2000	13	 5.117	 3.938	 4.024	 4.475	 3.765	 3.671	 4.511	 4.180	 4.775	 3.886	 4.707	 4.023	 4.165	 5.309	 4.981	 5.304	 4.952	 5.117	 5.362	 5.415	 5.091
2000	14	 5.885	 5.343	 6.378	 5.318	 5.203	 5.226	 5.177	 4.985	 5.384	 5.248	 5.547	 5.435	 5.507	 5.536	 5.546	 4.946	 5.208	 5.885	 4.920	 4.836	 4.325
2000	15	 6.129	 5.688	 5.939	 5.192	 5.411	 5.209	 4.466	 4.238	 5.091	 4.934	 5.414	 4.866	 5.081	 4.932	 5.491	 4.916	 5.575	 6.129	 5.701	 5.042	 6.202
2000	16	 7.263	 7.536	 7.265	 6.057	 7.467	 7.398	 4.890	 4.373	 5.776	 6.587	 5.288	 6.266	 6.368	 5.690	 6.098	 6.101	 6.699	 7.263	 6.638	 6.048	 6.328
2000	17	 6.176	 6.528	 6.043	 5.653	 6.445	 6.335	 5.431	 5.118	 5.834	 6.012	 5.644	 6.177	 6.398	 5.809	 6.429	 6.179	 6.593	 6.176	 6.385	 6.057	 5.916
2000	18	 5.494	 5.668	 5.320	 5.383	 5.708	 5.826	 5.181	 5.184	 5.490	 5.650	 5.962	 6.103	 6.452	 6.391	 6.775	 6.463	 6.922	 5.494	 6.899	 6.260	 6.142
2000	19	 4.132	 4.153	 5.001	 4.434	 4.408	 4.962	 5.412	 5.422	 5.252	 5.041	 6.003	 5.918	 6.074	 6.440	 6.362	 6.225	 6.598	 4.132	 6.953	 6.400	 6.690
2000	20	 4.099	 4.690	 5.152	 4.041	 4.968	 5.212	 3.981	 4.766	 3.947	 4.494	 5.068	 4.740	 5.011	 5.770	 5.254	 5.783	 6.229	 4.099	 6.304	 6.115	 6.163
2000	21	 3.372	 4.140	 3.745	 4.386	 4.367	 4.236	 4.937	 5.009	 4.839	 4.666	 5.104	 4.908	 4.873	 5.513	 5.042	 5.099	 4.834	 3.372	 5.325	 5.231	 5.358
2000	22	 3.200	 2.992	 3.587	 3.273	 3.226	 3.368	 3.654	 3.727	 3.516	 3.668	 3.588	 3.810	 3.777	 3.830	 3.797	 3.854	 3.936	 3.200	 3.868	 3.694	 3.401
2000	23	 3.043	 2.516	 3.766	 2.989	 2.998	 3.481	 3.112	 2.453	 3.368	 3.760	 2.944	 4.225	 3.957	 4.373	 4.303	 5.151	 4.222	 3.043	 4.970	 5.470	 5.439
2000	24	 4.431	 4.919	 3.603	 4.849	 4.846	 4.639	 4.549	 4.414	 4.725	 4.732	 5.082	 5.043	 5.026	 5.501	 5.406	 5.862	 5.098	 4.431	 6.023	 6.183	 6.264
